fidu,Field,NI,ND,NM,NL,NT,CI,CD,CM,CL,CT,EI,ED,EM,EL,ET,ECe18,ECa18,ECeg18,CRI,CRD,CRM,CRL,CRT,CCI,CCD,CCM,CCL,CCT
272,Muth8,0.160911441,1.018338665,3.287130952,0.910552829,5.376933887,0.725471854,1.608681202,3.517791987,2.906476855,8.758421898,1.588581048,14.91347405,13.1360559,1.391454993,31.02956599,2.493484735,0.492979622,2.493484735,0.804275648,0.494599659,0.486357484,0.805216718,0.558879334,0.347585492,0.187662846,0.57196457,0.748666733,0.455804232
273,Muth8,0.162554756,0.955935881,3.261165381,0.880176186,5.259832204,0.730665565,1.599793851,3.557359992,2.877929985,8.765749393,1.327529348,13.75197938,12.03602994,1.213492473,28.32903114,2.654877901,0.517276154,2.654877901,0.836439052,0.533961367,0.529370403,0.830128859,0.597270517,0.454796841,0.250929477,0.607808669,0.780811431,0.503166146
274,Muth8,0.161891118,0.972832083,3.292569339,0.871314824,5.298607364,0.726543367,1.59733516,3.55396086,2.893273652,8.771113039,1.718740869,14.60965629,13.41561576,1.44695459,31.19096751,2.510017157,0.494514198,2.510017157,0.788239043,0.504895691,0.47542621,0.797447588,0.556584828,0.294130142,0.204211803,0.562855175,0.73864205,0.452973576
275,Muth8,0.160982594,1.005451589,3.330997169,0.892418936,5.389850288,0.726660192,1.58947897,3.526230275,2.922219933,8.76458937,1.870751295,15.18550246,14.17546214,1.631353636,32.86306953,2.413725615,0.476854248,2.413725615,0.76951029,0.485380932,0.445714902,0.771634428,0.532813991,0.231700965,0.172845454,0.538095751,0.705334745,0.423648292
276,Muth8,0.167104945,1.009916351,3.319967806,0.9342089,5.431198002,0.731987119,1.598620295,3.496066868,2.912311732,8.738986014,1.572102831,14.05835022,12.5170555,1.474714583,29.62222313,2.317021608,0.475415802,2.317021608,0.80630588,0.523578814,0.510561471,0.793561597,0.578886318,0.354352933,0.234241453,0.592134559,0.733627867,0.480486176
277,Muth8,0.169051662,0.95528698,3.264704108,0.84962558,5.23866833,0.732202888,1.592073082,3.504573047,2.856627584,8.685476601,1.446386279,12.98817412,10.69324439,1.355784131,26.48358892,2.503950596,0.511739349,2.503950596,0.821795043,0.559845841,0.581875641,0.810210115,0.623505583,0.405983476,0.292533961,0.651563034,0.755109826,0.535531466
278,Muth8,0.171663448,0.918359876,3.228125214,0.915075169,5.233223707,0.727322519,1.628192425,3.496511578,2.878910899,8.730937421,2.499234947,15.80317648,15.86988931,1.982086461,36.1543872,5.297031879,1.061425781,4.063966751,0.692076686,0.464448675,0.379459867,0.722536978,0.486024157,-0.026411048,0.139200741,0.482883223,0.641983198,0.365925243
279,Muth8,0.163323775,0.857486516,3.239820421,0.959057063,5.219687775,0.724078417,1.603014231,3.517831385,2.949860096,8.794784129,1.980877788,15.24154223,15.37414802,1.56327302,34.15984106,4.934279919,0.979040833,3.72987175,0.755941932,0.483481809,0.39884421,0.781164715,0.514378905,0.186473105,0.169792966,0.499036841,0.71763189,0.400905544
280,Muth8,0.163411155,0.914262921,3.298167944,0.922326447,5.298168467,0.72210151,1.60050112,3.526691258,2.909511328,8.758805216,1.736888659,15.15636651,15.27230411,1.475022757,33.64058204,4.023251534,0.80100502,2.890814543,0.786003107,0.486368315,0.402826483,0.793518457,0.521760764,0.286677025,0.174432489,0.502355402,0.733572202,0.410012296
281,Muth8,0.166830704,0.962644443,3.335977912,0.937338203,5.402791262,0.721746385,1.59701854,3.550102889,2.902035475,8.770903289,1.781938773,15.71607686,15.20210949,1.476237409,34.17636253,3.242784262,0.66062088,2.104505301,0.780452617,0.467400381,0.405571214,0.793348423,0.514144033,0.268175389,0.143945058,0.504642678,0.733352804,0.400615791
282,Muth8,0.164171532,0.967305541,3.362621725,0.912798196,5.406896994,0.717272401,1.594569981,3.538599313,2.906605064,8.757046759,1.659082222,15.48243587,14.42433843,1.326567385,32.89242391,2.851122141,0.584569359,2.851122141,0.795589407,0.475318203,0.435983408,0.814300031,0.532396685,0.318631358,0.156671487,0.529986173,0.760387136,0.423133475
283,Muth8,0.168065086,0.958901137,3.368133545,0.920204729,5.415304497,0.719596386,1.589092076,3.528423666,2.898811758,8.735923886,1.359657869,14.67398618,13.41115391,1.032613996,30.47741195,2.629325151,0.530117645,2.629325151,0.832480593,0.502715625,0.475600676,0.855449192,0.566728834,0.441601975,0.200707753,0.563000564,0.813482828,0.465487896
284,Muth8,0.166877046,0.964229613,3.363474786,0.938450515,5.43303196,0.716438115,1.589969039,3.54811877,2.897483348,8.752009272,1.17796615,14.46158185,12.77501707,0.776682239,29.19124731,2.482436657,0.497144089,2.482436657,0.85486629,0.509913762,0.500474727,0.891275883,0.585013131,0.516220965,0.21227742,0.583728939,0.859710816,0.48804462
285,Muth8,0.162790701,1.002143219,3.383020521,0.946230977,5.494185418,0.715451002,1.594028533,3.53175962,2.893117905,8.73435706,1.401899665,15.27528991,13.70272882,0.89100975,31.27092814,2.515794754,0.506435013,2.515794754,0.827276106,0.482338139,0.464199592,0.875271709,0.555448096,0.424253688,0.16795473,0.55349966,0.839060269,0.451571228
286,Muth8,0.163285509,0.996739298,3.375676096,0.930599511,5.466300414,0.719821215,1.587507427,3.557146192,2.887088179,8.751563013,1.529992881,15.74867469,14.49107587,1.185158384,32.95490182,2.589452982,0.511186638,2.589452982,0.811494122,0.466295678,0.433373859,0.834095216,0.53150849,0.371647072,0.142169454,0.527811549,0.785929311,0.422037739
287,Muth8,0.165115133,0.992524311,3.380933881,0.905323893,5.443897218,0.724526107,1.585169256,3.538057864,2.880308807,8.728062034,1.538198311,15.86769288,14.62369491,1.440330154,33.46991626,2.609428406,0.485317497,2.609428406,0.810483155,0.46226229,0.428188225,0.798374912,0.524186972,0.368277183,0.135686531,0.523490187,0.739838597,0.413005429
288,Muth8,0.16529724,0.983445481,3.371050357,0.910069197,5.429862275,0.71856904,1.584250808,3.5404014,2.900488197,8.743709445,1.728168266,16.60130756,15.60920277,1.707858108,35.64653671,2.590955496,0.467270813,2.590955496,0.787077521,0.437400939,0.389653162,0.760924924,0.493243831,0.290258404,0.095726529,0.491377635,0.691516031,0.374831912
289,Muth8,0.162333101,0.997803002,3.373740791,0.891667352,5.425544246,0.717815697,1.589321315,3.557974398,2.890854836,8.755966246,1.613689213,16.42340235,15.59743935,1.619503689,35.2540346,2.613481283,0.49414814,2.613481283,0.801182145,0.44342994,0.390113132,0.773293246,0.498823696,0.337273817,0.105417028,0.491760944,0.707475157,0.381715605
290,Muth8,0.157894731,0.971427902,3.389827787,0.86422123,5.38337165,0.720927775,1.583188832,3.547102808,2.873297096,8.724516511,1.206632696,15.02237763,13.48715228,1.170237905,30.88640051,2.586932182,0.515648842,2.586932182,0.85133437,0.490909043,0.472629008,0.836183864,0.560914595,0.504447899,0.181730865,0.560524174,0.788624341,0.458315064
291,Muth8,0.162002951,0.985233649,3.362003744,0.880725116,5.38996546,0.72622478,1.583444178,3.538302005,2.886095166,8.734066129,1.472605068,14.9824767,13.54616243,1.142093568,31.14333777,2.393790483,0.485702133,2.393790483,0.818564704,0.492261239,0.470321609,0.840123658,0.557261939,0.395215679,0.18390427,0.558601341,0.793707946,0.453808905
292,Muth8,0.167200848,0.98539792,3.360658049,0.909362272,5.422619089,0.725235701,1.586243272,3.524074256,2.879511714,8.715064943,1.89298776,15.50053009,14.46126134,1.566559519,33.42133871,2.286761761,0.469806595,2.286761761,0.766770601,0.474705011,0.434539659,0.780704653,0.524877558,0.222568669,0.155685894,0.528783049,0.717038262,0.41385738
293,Muth8,0.173122913,0.968682929,3.375827014,0.929080262,5.446713118,0.723965228,1.585106254,3.533120811,2.890855909,8.733048202,1.731439429,15.76595626,15.14673606,2.135364352,34.7794961,2.360861063,0.477317009,2.360861063,0.786674491,0.465710026,0.407736411,0.701080323,0.505569802,0.288914969,0.141228127,0.506447009,0.614297191,0.390038049
294,Muth8,0.187557176,0.935553968,3.307315707,0.841491922,5.271918773,0.725170434,1.569736361,3.553535044,2.877488971,8.72593081,1.837157245,15.55456292,14.90499505,2.582887286,34.8796025,2.556102514,0.548335876,2.556102514,0.773649313,0.472873901,0.417188902,0.638433678,0.504146675,0.245497709,0.152742725,0.514324085,0.533462811,0.388282386
295,Muth8,0.170542642,0.91287449,3.260275065,0.870714263,5.21440646,0.729931176,1.607952893,3.534247994,2.863079965,8.735212028,2.853103195,16.64620734,17.52232348,2.414640257,39.43627427,5.135139942,1.052620697,3.914863825,0.64847763,0.435879337,0.314846832,0.661985794,0.439368389,-0.171741234,0.093280837,0.429039027,0.563852637,0.308367588
296,Muth8,0.167671889,0.871701747,3.285898209,0.92769134,5.252963185,0.723863184,1.584537864,3.548531174,2.93795228,8.794884502,2.063075601,15.86758303,16.73434519,1.834559512,36.49956334,4.849958897,0.963964157,3.652211905,0.745814583,0.462266012,0.345658147,0.743188587,0.481117084,0.152715277,0.135692515,0.454715122,0.668630434,0.359871552
297,Muth8,0.16419363,0.925039157,3.325848996,0.895471961,5.310553744,0.719784558,1.589719414,3.524074494,2.890578152,8.724156618,1.705720512,15.5578243,16.11405272,1.658166806,35.03576433,3.900314569,0.764005585,2.77758956,0.789843242,0.472763377,0.369912656,0.767880977,0.501926656,0.299477474,0.152565078,0.474927213,0.700491584,0.385543623
